Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,066214,2020,08,28,0,1,N
IDCJAC0009,066214,2020,08,29,0,1,N
IDCJAC0009,066214,2020,08,30,0,1,N
IDCJAC0009,066214,2020,08,31,0,1,N
IDCJAC0009,066214,2020,09,01,0,1,Y
IDCJAC0009,066214,2020,09,02,0,1,N
IDCJAC0009,066214,2020,09,03,0,1,N
IDCJAC0009,066214,2020,09,04,0,1,N
IDCJAC0009,066214,2020,09,05,6.4,1,Y
IDCJAC0009,066214,2020,09,06,0.2,1,N
IDCJAC0009,066214,2020,09,07,0.2,1,N
IDCJAC0009,066214,2020,09,08,0,1,N
IDCJAC0009,066214,2020,09,09,0,1,N
IDCJAC0009,066214,2020,09,10,,,
IDCJAC0009,066214,2020,09,11,0.2,1,N
IDCJAC0009,066214,2020,09,12,,,
IDCJAC0009,066214,2020,09,13,0,1,N
IDCJAC0009,066214,2020,09,14,0,1,N
IDCJAC0009,066214,2020,09,15,0,1,N
IDCJAC0009,066214,2020,09,16,0,1,N
IDCJAC0009,066214,2020,09,17,0,1,N
IDCJAC0009,066214,2020,09,18,0,1,N
IDCJAC0009,066214,2020,09,19,4.4,1,N
IDCJAC0009,066214,2020,09,20,2.4,1,N
IDCJAC0009,066214,2020,09,21,7.8,1,N
IDCJAC0009,066214,2020,09,22,0,1,N
IDCJAC0009,066214,2020,09,23,0,1,N
IDCJAC0009,066214,2020,09,24,0,1,N
IDCJAC0009,066214,2020,09,25,0,1,N
IDCJAC0009,066214,2020,09,26,1.4,1,N
IDCJAC0009,066214,2020,09,27,0,1,N
IDCJAC0009,066214,2020,09,28,0,1,N
IDCJAC0009,066214,2020,09,29,0,1,N
IDCJAC0009,066214,2020,09,30,0,1,N
IDCJAC0009,066214,2020,10,01,2.6,1,N
IDCJAC0009,066214,2020,10,02,0.2,1,N
IDCJAC0009,066214,2020,10,03,0,1,N
IDCJAC0009,066214,2020,10,04,0,1,N
IDCJAC0009,066214,2020,10,05,0,1,N
IDCJAC0009,066214,2020,10,06,0,1,N
IDCJAC0009,066214,2020,10,07,0,1,N
IDCJAC0009,066214,2020,10,08,0.4,1,N
IDCJAC0009,066214,2020,10,09,1,1,N
IDCJAC0009,066214,2020,10,10,0,1,N
IDCJAC0009,066214,2020,10,11,0,1,N
IDCJAC0009,066214,2020,10,12,0,1,N
IDCJAC0009,066214,2020,10,13,0,1,N
IDCJAC0009,066214,2020,10,14,0,1,N
IDCJAC0009,066214,2020,10,15,0,1,N
IDCJAC0009,066214,2020,10,16,0,1,N
IDCJAC0009,066214,2020,10,17,0,1,N
IDCJAC0009,066214,2020,10,18,1.8,1,N
IDCJAC0009,066214,2020,10,19,3,1,N
IDCJAC0009,066214,2020,10,20,0,1,N
IDCJAC0009,066214,2020,10,21,0.4,1,N
IDCJAC0009,066214,2020,10,22,0,1,N
IDCJAC0009,066214,2020,10,23,0,1,N
IDCJAC0009,066214,2020,10,24,3.2,1,N
IDCJAC0009,066214,2020,10,25,19,1,N
IDCJAC0009,066214,2020,10,26,43.2,1,N
IDCJAC0009,066214,2020,10,27,12.4,1,N
IDCJAC0009,066214,2020,10,28,0.2,1,N
IDCJAC0009,066214,2020,10,29,18.4,1,N
IDCJAC0009,066214,2020,10,30,0,1,N
IDCJAC0009,066214,2020,10,31,2.6,1,N
IDCJAC0009,066214,2020,11,01,14.8,1,N
IDCJAC0009,066214,2020,11,02,19,1,N
IDCJAC0009,066214,2020,11,03,0.2,1,N
IDCJAC0009,066214,2020,11,04,0,1,N
IDCJAC0009,066214,2020,11,05,2.8,1,N
IDCJAC0009,066214,2020,11,06,23,1,N
IDCJAC0009,066214,2020,11,07,0,1,N
IDCJAC0009,066214,2020,11,08,1.2,1,N
IDCJAC0009,066214,2020,11,09,0.2,1,N
IDCJAC0009,066214,2020,11,10,0,1,N
IDCJAC0009,066214,2020,11,11,0,1,N
IDCJAC0009,066214,2020,11,12,0,1,N
